"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개","알라딘표지","알라딘ISBN13","알라딘설명","알라딘카테고리ID","알라딘카테고리명"
"세상은 온통 화학이야","마이 티 응우옌-킴 지음; 배명자 옮김; 김민경 감수","한국경제신문:한경BP","2019","자료실","9788947545150 ","세상은 온통 화학이야","마이 티 응우옌 킴","배명자","9788947545150","한국경제신문","2019-09-24","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5077734%3Ftimestamp%3D20250409133642","https://search.daum.net/search?w=bookpage&bookId=5077734&q=%EC%84%B8%EC%83%81%EC%9D%80+%EC%98%A8%ED%86%B5+%ED%99%94%ED%95%99%EC%9D%B4%EC%95%BC","화학은 딱딱하고 지루하다? 이 책은 이런 편견을 여지없이 깨버린다. 화학에 대한 정보를 주는 책은 많지만 가벼운 마음으로 화학에 끌리도록 만드는 책은 이 이상 나오기 어려울 듯싶다. -[추천사] 팟태스트 <파토의 과학하고 앉아있네> 원종우 대표 대부분의 사람들에게 ‘화학’은 몸에 해롭고, 독성을 포함하며, 인위적인 것으로 통한다. 학교에서조차 학생들에게 어렵다는 이유로 외면당하는 과목일 뿐이지만, 그것은 화학이 무엇인지 제대로 알지 못하기 때문이다! 저자 마이 티 응우옌 킴 박사는 못생긴 아이를 최대한 남들에게 예쁘게 보이게 하려는 엄마의 마음으로, 화학이 무엇인지를 일반 독자들에게 쉽고 재미있게 소개한다. 모닝콜 소리에 잠에서 깨어 와인 한 잔 후 잠들 때까지, 하루 일과를 화학자의 시선으로 바라보고 풀어나가는 신기한 경험으로 독자들을 초대한다. . 아침에 모닝콜이 울리면 왜 짜증이 날까? . 모닝커피는 언제 마시는 게 가장 효과적일까? . 충치 예방을 위해서는 어떤 치약을 써야 할까? . 천연 비누는 정말 몸에 더 좋을까? . 술에 취하면 왜 속마음을 그대로 말하게 될까? 살면서 한 번쯤은 궁금증을 가져본 적 있을 법한 일상 속 현상들을 화학 원소로 쪼개어, 어떤 화학 반응이 우리 안에서 그리고 우리 주변에서 은밀하게 진행되는지 기발하면서도 재밌게 풀어낸다. 저자의 하루를 따라 정신없이 읽다보면 어느새 화학을 취미처럼 재미있게 즐기고 있는 자신을 발견하게 될 것이다. 《세상은 온통 화학이야》는 총 80만 명 이상의 구독자를 보유한 독일의 유명 유튜버이자 젊은 화학자, 저널리스트인 마이 티 응우옌 킴 박사가 유튜브 채널 <The Secret Life Of Scientists(과학자의 은밀한 삶)>과 <maiLab(마이랩)>에서 다룬 화학 주제들을 저자의 하루 일과로 구성한 책이다. 마이 티 응우옌 킴 박사는 화학의 재미에 매료되는 것을 ‘화학 스피릿’이라는 단어로 표현하며, 화학 스피릿을 전염병처럼 많은 사람들에게 퍼트리는 미션을 수행하고 있다. 이 책을 통해 부디 당신도 화학 스피릿에 전염되어 세상을 바라보는 새로운 시각을 갖게 되길 바란다. 책을 다 읽고 나면 정말로 세상은 온통 화학임을 깨닫게 될 것이다!","https://image.aladin.co.kr/product/19832/24/coversum/8947545155_1.jpg","9788947545150.0","총 80만 명 이상의 구독자를 보유한 독일의 유명 유튜버이자 젊은 화학자, 저널리스트인 마이 티 응우옌 킴 박사가 유튜브 채널 [The Secret Life Of Scientists(과학자의 은밀한 삶)]과 [maiLab(마이랩)]에서 다룬 화학 주제들을 저자의 하루 일과로 구성한 책이다.","51335.0","국내도서>과학>화학>쉽게 배우는 화학"
"괜찮아 돌아갈 수 없어도.","이찬호 지음","새잎","2019","자료실","9791185600239 ","괜찮아 돌아갈 수 없어도.","이찬호","","9791185600239","새잎","2019-01-21","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4856329%3Ftimestamp%3D20231014153200","https://search.daum.net/search?w=bookpage&bookId=4856329&q=%EA%B4%9C%EC%B0%AE%EC%95%84+%EB%8F%8C%EC%95%84%EA%B0%88+%EC%88%98+%EC%97%86%EC%96%B4%EB%8F%84.","2017년 8월 18일 강원도 철원에서 K-9자주포 폭발 사고가 발생했다. 이찬호 병장은 전신 55% 화상을 입었고, 청와대 국민청원 이후 여전히 해결되지 않은 문제와 싸우고 있다. 『괜찮아 돌아갈 수 없어도』는 사고 후 수도 없이 죽음을 생각했던 이찬호 병장이 상처를 당당히 드러내며, 유쾌하게 아픔을 극복했음을 알리는 글과 사진이 담긴 책이다. 많은 이들의 관심과 도움으로 용기를 얻었기에 뜨거움을 따뜻함으로 나누는 삶을 살고자 한다. 이 책은 첫 번째 프로젝트이며, 저자의 수익은 모두 화상 환자나 필요한 곳에 기부된다.","https://image.aladin.co.kr/product/17836/29/coversum/k002534424_1.jpg","9791185600239.0","2017년 8월 18일 강원도 철원에서 K-9자주포 폭발 사고가 발생했다. 이찬호 병장은 전신 55% 화상을 입었다. 괜찮아 돌아갈 수 없어도는 사고 후 수도 없이 죽음을 생각했던 이찬호 병장이 상처를 당당히 드러내며, 유쾌하게 아픔을 극복했음을 알리는 글과 사진이 담긴 책이다.","51376.0","국내도서>에세이>사진/그림 에세이"
"땜장이 의사의 국경 없는 도전","김용민 지음","오르골","2019","자료실","9791195937264 ","땜장이 의사의 국경 없는 도전","김용민","","9791195937264","오르골","2019-07-16","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4987696%3Ftimestamp%3D20230217201504","https://search.daum.net/search?w=bookpage&bookId=4987696&q=%EB%95%9C%EC%9E%A5%EC%9D%B4+%EC%9D%98%EC%82%AC%EC%9D%98+%EA%B5%AD%EA%B2%BD+%EC%97%86%EB%8A%94+%EB%8F%84%EC%A0%84","예비 의사들이 시험 족보보다 먼저 챙겨봐야 할 책. 의대 교수에서 국경없는의사회 활동가로 변신한, 자칭 ‘땜장이 의사’의 도전 이야기. 35년 차 의사가 말하는 의사의 존재 이유, 그리고 어떤 인생을 살 것인가. 서울대 출신 정형외과 전문의인 저자가 국립대 의대 교수라는 안정적인 직위와 명예를 내려놓고 새로운 도전에 나서기까지의 여정이 담겨 있다. 저자는 환자의 치유를 돕거나 누군가의 부족한 부분을 메꿔주는 땜장이 역할을 할 때 보람을 느낀다고 말한다. 아울러 의사에게 무엇보다 중요한 것은 ‘봉사 정신’임을 강조한다. 이 책은 4개의 장에 40편의 글과 사진이 실려 있다. 1장에는 현재의 저자를 있게 한 개인의 역사, 2장에는 교수로서 제자를 양성하는 과정, 3장에는 구체적인 예로 살펴본 봉사의 의미, 4장에는 다양한 구호활동 및 국경없는의사회 소개를 포함하여 생의 의미를 찾아가는 내용을 담았다. 한때 국어교사를 꿈꾸던 저자의 글답게 편하게 술술 읽힌다. 글 뒤에는 시대상을 보여주는 1970년대 교복 입학식, 소록도의 마리안느와 마가렛, 국경없는의사회 등 관련 사진이 곁들여져 친근감을 더한다. 저자는 소록도에서 공중보건의 근무를 계기로 이타적인 삶을 지향하게 되었다고 밝힌다. 전공도 ‘한센병 환우’에게 도움이 되고자 정형외과를 선택했으며, 의대 교수로 재직하는 동안 학생 눈높이에 맞는 선생, 환자 입장을 헤아리는 의사가 되기 위해 노력했다. 아이티 지진 구호단으로 활동한 이후 ‘자신을 더 필요로 하는 곳’에 가겠다고 결심, 6년 일찍 조기 퇴직한 뒤 국경없는의사회 구호활동가가 되어 팔레스타인 가자 지구 및 아프리카 오지 감벨라 등을 누비고 있다. 이와 같은 저자의 모습은 일상에 안주하며 늘 ‘하지 않을 이유’를 찾느라 바쁜 우리의 삶을 돌아보게 한다. * 우리는 어떤 도전을 앞두었을 때, 가진 것을 잃을까 봐 선뜻 뛰어들지 못하거나, 굳이 귀찮은 수고를 하지 않을 이유를 찾느라 급급하다. 그럼에도 불구하고 적극적으로 도전하는 것이야말로 우리 인생을 더 아름답고 의미 있게 만든다._250쪽, ‘하지 않을 이유는 많지만’ 중에서","https://image.aladin.co.kr/product/19655/32/coversum/k132635730_1.jpg","9791195937264.0","의대 교수에서 국경없는의사회 활동가로 변신한, 자칭 '땜장이 의사'의 도전 이야기. 서울대 출신 정형외과 전문의인 저자가 국립대 의대 교수라는 안정적인 직위와 명예를 내려놓고 새로운 도전에 나서기까지의 여정이 담겨 있다.","51371.0","국내도서>에세이>한국에세이"
"파란하늘 빨간지구","조천호 지음","동아시아","2019","자료실","9788962622713 ","파란하늘 빨간지구","조천호","","9788962622713","동아시아","2019-03-29","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4910044%3Ftimestamp%3D20250321131411","https://search.daum.net/search?w=bookpage&bookId=4910044&q=%ED%8C%8C%EB%9E%80%ED%95%98%EB%8A%98+%EB%B9%A8%EA%B0%84%EC%A7%80%EA%B5%AC","조천호 전 국립기상과학원 원장은 일반인의 눈높이에서 기후변화 시대의 본질을 설명하는 『파란하늘 빨간지구』. 우리가 누리고 있는 문명은 인간의 능력으로 이룩한 것 같지만, 사실 특정한 기후 조건에서 가능했던 우연의 산물이다. 현대 문명도 마찬가지다. 기술이 발달하면서 인간이 모든 것을 통제하고 있는 것처럼 보이지만, 해수면 상승이나 생태계 파괴 같은 대규모 환경 재앙이 일어나면 인간이 할 수 있는 일은 그리 많지 않을 것이다. 우리는 기후변화 문제를 생태 문제로 인식하지만 기후변화는 모든 곳에서 치명적인 문제를 일으킨다. 2018년 다보스 포럼에서 전문가 745명을 대상으로 한 설문조사를 실시했는데, 여기서 극한(재해성) 날씨는 대량살상 무기 다음으로 인류가 직면할 가장 영향력이 큰 위험에 뽑혔다. 그렇다면 기후변화는 우리 삶을 어떻게 바꾸는가? 저자는 이 책에서 과학적 데이터를 제시하며 기후변화가 일어난 원리를 설명하고, 앞으로는 어떻게 될 것이며, 기후변화가 일상이 된 지구에서 살아갈 수 있는지, 새로운 시대에 적응하기 위해 우리는 어떤 일을 해야 하는지 기후변화와 관련된 여러 사안을 알기 쉽게 풀어놓고, 과학적으로 지금 어떤 일이 일어나는지 설명하면서 그 일에 담긴 의미와 파급 효과에 대해 고민할 수 있는 기회를 전한다.","https://image.aladin.co.kr/product/18713/2/coversum/8962622718_1.jpg","9788962622713.0","대기과학자가 기후변화와 관련된 여러 사안을 알기 쉽게 풀어놓는다는 점에서 많은 이에게 도움이 될 것이다. 또 다른 측면에서 주목해야 할 점은, 이 책이 전해주는 메시지다. 기후변화는 이미 많은 것을 바꿔놓았고, 그에 따르는 피해는 가난하고 힘없는 사람들이 주로 보고 있다.","51318.0","국내도서>과학>지구과학>기상학/기후"
"오늘은 잘 모르겠어","심보선 지음","문학과지성사","2020(8쇄)","자료실","9788932030265 ","오늘은 잘 모르겠어","심보선","","9788932030265","문학과지성사","2017-07-07","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F495409%3Ftimestamp%3D20231005195409","https://search.daum.net/search?w=bookpage&bookId=495409&q=%EC%98%A4%EB%8A%98%EC%9D%80+%EC%9E%98+%EB%AA%A8%EB%A5%B4%EA%B2%A0%EC%96%B4","사회학자이자 시인인 심보선의 세 번째 시집 『오늘은 잘 모르겠어』. 《슬픔이 없는 십오 초》와 《눈앞에 없는 사람》으로 대중과 문단의 주목을 한 번에 모아온 저자가 6년 만에 묶어낸 시집이다. 평론가의 해설을 덧붙이는 대신 저자가 선별한 에세이 《당나귀문학론》을 덧붙였다. 그동안 갈등이 첨예하게 대립하는 사회 운동의 현장에 자주 모습을 드러내왔던 저자의 모습은 시집 속에도 고스란히 투영되곤 하는데, 구의역에서 스크린도어 정비 중 사망한 소년에 대한 시 《갈색 가방이 있던 역》, 쌍용차 해고 노동자 문제를 다룬 《스물세번째 인간》 등에서 잘 드러나 있다. 끊이지 않는 삶의 슬픔과 고통, 어둠이 파노라마처럼 이어지는 가운데 저자는 슬픔 사이 찰나의 순간, 눈앞에 없는 것들의 존재를 포착해내고 불행한 현실을 부정하지 않으면서, 동시에 그 안에서 긍정적 결말을 끌어낼 수 있는 언어를 풀어놓는다. 불행이 꼬리를 물고 따라와도 우리가 서로에게 바통을 쥐여주듯 서로에게 가닿을 수 있다면 아주 작은 움직임으로 서로가 서로의 말에 닿을 수 있다면, 우리의 삶이 불행으로만 점철되지는 않을 수 있다는 어떤 가능성은 여전히 존재할 수 있음을, 저자는 자신의 시를 통해 전하고 있다.","https://image.aladin.co.kr/product/11326/60/coversum/893203026x_1.jpg","9788932030265.0","심보선의 세번째 시집. 첫 시집 슬픔이 없는 십오 초와 두번째 시집 눈앞에 없는 사람으로 대중과 문단의 주목을 한 번에 모아온 시인이 6년 만에 묶은 새 시집이다. 평론가의 해설을 덧붙이는 대신 시인이 선별한 에세이 「당나귀문학론」을 덧붙였다.","51167.0","국내도서>소설/시/희곡>시>한국시"
"우울하면 좀 어때","김승기 지음","문학세계사","2019","자료실","9788970759074 ","우울하면 좀 어때","김승기","","9788970759074","문학세계사","2019-03-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4897236%3Ftimestamp%3D20221025160935","https://search.daum.net/search?w=bookpage&bookId=4897236&q=%EC%9A%B0%EC%9A%B8%ED%95%98%EB%A9%B4+%EC%A2%80+%EC%96%B4%EB%95%8C","매일 진료실에서 아주 많은 삶과 만나는 정신건강의학과 전문의 김승기 시인의 자존감 처방전 『우울하면 좀 어때』. 살아가면서 미처 읽어내지 못하고 ‘그냥 지나쳐 버린', '지나치고 있는’, '지나칠지도 모르는' 우리 삶의 순간들을 유심히 들여다볼 수 있다. 타인의 삶을 통해 보이지 않았던 나의 창을 들여다보게 될 수도 있다.","https://image.aladin.co.kr/product/18599/55/coversum/8970759077_1.jpg","9788970759074.0","정신과 전문의 김승기 시인의 자존감 처방전. 살아가면서 미처 읽어내지 못하고 '그냥 지나쳐 버린', '지나치고 있는', '지나칠지도 모르는' 우리 삶의 순간들을 유심히 들여다볼 수 있는 책이다. 타인의 삶을 통해 보이지 않았던 나의 창을 들여다보게 될 수도 있다.","51371.0","국내도서>에세이>한국에세이"
"하고 싶은 대로 살아도 괜찮아","윤정은 지음; 마설 그림","애플북스:비전비엔피","2018","자료실","9791186639702 ","하고 싶은 대로 살아도 괜찮아","윤정은","","9791186639702","애플북스","2019-11-04","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1633770%3Ftimestamp%3D20240426113143","https://search.daum.net/search?w=bookpage&bookId=1633770&q=%ED%95%98%EA%B3%A0+%EC%8B%B6%EC%9D%80+%EB%8C%80%EB%A1%9C+%EC%82%B4%EC%95%84%EB%8F%84+%EA%B4%9C%EC%B0%AE%EC%95%84","그동안 자기계발과 글쓰기 강사로 독자들과 소통한 윤정은 작가의 신작 에세이 ≪하고 싶은 대로 살아도 괜찮아≫가 출간됐다. 저자는 사회가 강요하는 고정관념에 매몰되지 않고 자유로운 나로 살기 위해서 필요한 ‘나를 돌보는’ 방법들을 이야기하며, 이 시대를 살아가는 여성에게 남을 위해 애쓰기보단 나를 돌아보고 행복한 나를 찾는 것이 중요하다고 말한다. 누군가에게 휘둘리지 않고 자유로운 나로 살기 위한 저자의 이야기를 읽고 있자면 마음이 따뜻해짐을 느낀다. 자기 자신으로 자립해가는 성숙의 과정이 마치 내 모습과도 같아 때론 눈물겹고 때론 기특하다. 이 책은 오롯이 자신에게 집중하며, 있는 그대로의 나를 사랑하고 싶은 사람들에게 위로와 공감을 불러일으킬 것이다. 완벽하지 않아도 괜찮다는 저자의 이야기들을 통해 타인의 말에 흔들리지 않고 자신만의 길을 가는, 나답게 사는 진짜 나를 찾는 여정을 떠나보자.","https://image.aladin.co.kr/product/13865/46/coversum/k162532323_3.jpg","9791186639702.0","자기계발과 글쓰기 강사로 독자들과 소통한 윤정은 작가의 에세이. 저자는 사회가 강요하는 고정관념에 매몰되지 않고 자유로운 나로 살기 위해서 필요한 나를 돌보는 방법들을 이야기하며, 이 시대를 살아가는 여성에게 남을 위해 애쓰기보단 나를 돌아보고 행복한 나를 찾는 것이 중요하다고 말한다.","51371.0","국내도서>에세이>한국에세이"
"그래, 잠시만 도망가자","이종범 지음","위즈덤하우스:위즈덤하우스 미디어그룹","2018","자료실","9791162203286 ","그래, 잠시만 도망가자","이종범","","9791162203286","위즈덤하우스","2018-03-26","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1604503%3Ftimestamp%3D20250117113756","https://search.daum.net/search?w=bookpage&bookId=1604503&q=%EA%B7%B8%EB%9E%98%2C+%EC%9E%A0%EC%8B%9C%EB%A7%8C+%EB%8F%84%EB%A7%9D%EA%B0%80%EC%9E%90","인기 심리 웹툰 [닥터 프로스트] 이종범 만화가의 첫 번째 에세이.『그래, 잠시만 도망가자』는 팍팍한 삶 속에서 위로 받고 싶을 때, 아무리 열심히 살아도 행복하지 않을 때, 하고 있는 일에 의미를 찾지 못할 때, 자신의 인생을 고민하는 보통 사람들을 위한 책이다. 이 시대를 살아가는 젊은이라면 누구나 공감할만한 정체성과 일, 자존감, 관계, 행복에 관한 고민과 갈등의 흔적을 고스란히 담았다. 부끄럽고 찌질했던 자신의 어린 시절 이야기부터 웹툰 작가의 삶까지 담담하게 풀어낸 그의 고백은 그 어떤 현답이나 건설적인 조언보다 따뜻한 위로와 힘을 준다.","https://image.aladin.co.kr/product/13919/63/coversum/k192532522_1.jpg","9791162203286.0","인기 심리 웹툰 닥터 프로스트 이종범 만화가의 첫 번째 에세이. 팍팍한 삶 속에서 위로 받고 싶을 때, 아무리 열심히 살아도 행복하지 않을 때, 하고 있는 일에 의미를 찾지 못할 때, 자신의 인생을 고민하는 보통 사람들을 위한 책이다.","51371.0","국내도서>에세이>한국에세이"
"그날이 우리의 창을 두드렸다","416세월호참사작가기록단 지음","창비","2019","자료실","9788936486372 ","그날이 우리의 창을 두드렸다","416 세월호 참사 시민기록위원회 작가기록단, 미류, 박희정, 유해정, 이호연, 홍은전","","9788936486372","창비","2019-04-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4919422%3Ftimestamp%3D20231124170925","https://search.daum.net/search?w=bookpage&bookId=4919422&q=%EA%B7%B8%EB%82%A0%EC%9D%B4+%EC%9A%B0%EB%A6%AC%EC%9D%98+%EC%B0%BD%EC%9D%84+%EB%91%90%EB%93%9C%EB%A0%B8%EB%8B%A4","세월호 참사 이후 5년. 이제 그만 잊으라고 말하는 목소리들 사이에서 세월호 참사란 과연 무엇이었는지, 그 사건은 과연 종결된 것인지, 현재를 살아가는 우리는 그것으로부터 얼마나 안전한지, 우리는 과연 그들의 고통과 무관한지 성찰하게 하는 『그날이 우리의 창을 두드렸다』. 《금요일엔 돌아오렴》, 《다시 봄이 올 거예요》를 통해 세월호 희생자 유가족들과 생존학생의 육성을 기록하고 이를 널리 알림으로써 참사에 대한 사회적 기억과 공감을 확산해온 416세월호참사 작가기록단의 세 번째 책이다. 세월호 참사를 겪은 한 사람 한 사람의 삶은 어떤 궤적을 그렸는지 추적하는 이 책은 유가족이 겪은 지난 5년의 경험과 감정을 생생히 기록한 절절한 증언집이자 세월호 참사를 둘러싼 한국사회의 민낯을 폭로하면서 기억과 고통, 권력의 작동 문제를 파헤친다. 1장 고통의 단어 사전에서는 여느 사람에게는 지극히 평범한 일상어들을 통해 무너진 일상의 결을 하나씩 살핌으로써 세월호라는 사회적 참사가 개인에게 남긴 고통을 구체적으로 보여준다. 2장 세월호의 지도는 세월호의 공간에 새겨진 기억에 대해 말하고, 3장 416가족의 탄생은 지난 5년간 세월호 참사의 진상규명과 안전사회 건설을 위한 운동을 견인해온 416 가족협의회가 어떤 변화의 과정을 밟았는지 담았다. 4장 가족의 재구성은 재난이 가족을 어떻게 뒤흔들고, 우리 사회에서 가족이 어떻게 구성되는가를 되묻게 한다. 5장 다시 만난 세계는 사회적 관계가 어떻게 부서지고 다시 만들어지는가에 관해 이야기하고, 6장 시간의 숨결은 세월호가 점차 사람들의 기억 속에서 망각되어가는 과정을 지켜보면서 기약할 수 없는 긴 싸움을 해나가는 세월호 가족의 마음을 담았다.","https://image.aladin.co.kr/product/18812/25/coversum/8936486373_1.jpg","9788936486372.0","지난 5년은 격변의 시간이었고 사건 해결의 진전이 이루어지는 것처럼 보이는 시간이기도 했다. 이 시간 속에서 참사를 겪은 한 사람 한 사람의 삶은 어떠한 궤적을 그렸는지 추적하는 곡진한 기록이다. 유가족이 겪은 지난 5년의 경험과 감정을 생생히 기록한 절절한 증언집이자 세월호 참사를 둘러싼 한국사회의 민낯을 폭로하면서 기억과 고통, 권력의 작동 문제를 파헤친다.","51371.0","국내도서>에세이>한국에세이"
"은유로서의 질병","수전 손택 지음; 이재원 옮김","이후","2010(5쇄)","자료실","9788988105610 ","은유로서의 질병","수전 손택","이재원","9788988105610","이후","2002-12-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1262895%3Ftimestamp%3D20250308113745","https://search.daum.net/search?w=bookpage&bookId=1262895&q=%EC%9D%80%EC%9C%A0%EB%A1%9C%EC%84%9C%EC%9D%98+%EC%A7%88%EB%B3%91","질병을 둘러싼 은유들은 어떤 질병에 낙인을 찍으며 좀더 나아가서는 질병을 앓는 사람들에게 낙인을 찍어놓는다. 내 책의 목적은 이런 상상력을 부추기기보다는 가라앉히는 것이다. 전통적으로 문학이 자신의 목적으로 삼아 이루려 노력해왔던 일종의 의미부여가 아니라 뭔가에서 의미를 빼앗는것, 극히 논쟁적인 전략을 활용해 돈키호테마냥 지금의 이 세계, 이 신체에 가해진 해석에 반대하는 것이 저자의 목적이다. 물론 사람들은 은유없이 사고할 수 없다. 그러나 그렇다고 해서 우리가 자제하고 피하려 애써야 할 은유가 없다는 것을 의미하지는 않는다. 물론, 모든 사고는 해석이다. 그러나 그렇다고 해서 해석에 반대한다는 것이 언제나 옳지 않다는 것을 의미하지는 않는다.","https://image.aladin.co.kr/product/39/69/coversum/8988105613_2.jpg","9788988105610.0","<은유로서의 질병>은 이처럼 특정 질병에 낙인을 찍으며, 좀더 나아가서는 질병을 앓는 사람들에게 낙인을 찍게 만드는 질병을 둘러싼 은유를 비판하는 책이다.","51378.0","국내도서>인문학>교양 인문학"
"하버드1교시","리처드 j. 라이트 지음; 장선하 옮김","힘찬북스","2019","자료실","9791196165598 ","하버드 1교시: 자기 표현력의 힘","리처드J라이트","장선하","9791196165598","힘찬북","2019-04-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4923979%3Ftimestamp%3D20230527151102","https://search.daum.net/search?w=bookpage&bookId=4923979&q=%ED%95%98%EB%B2%84%EB%93%9C+1%EA%B5%90%EC%8B%9C%3A+%EC%9E%90%EA%B8%B0+%ED%91%9C%ED%98%84%EB%A0%A5%EC%9D%98+%ED%9E%98","하버드 대학생 1,600명과 10년에 걸친 인터뷰를 통해 왜 누구는 대학생활을 현명하게 활용하여 성공하고, 왜 누구는 끝내 기회를 놓치고 마는지에 대한 물음에 핵심적인 답변을 제시하는 책!","https://image.aladin.co.kr/product/18902/54/coversum/k102635085_1.jpg","9791196165598.0","하버드 대학생 1,600명과 10년에 걸친 인터뷰를 통해 왜 누구는 대학생활을 현명하게 활용하여 성공하고, 왜 누구는 끝내 기회를 놓치고 마는지에 대한 물음에 핵심적인 답변을 제시한다.","70216.0","국내도서>자기계발>성공>성공학"
"미술관에 간 물리학자","서민아 지음","어바웃어북","2020","자료실","9791187150640 ","미술관에 간 물리학자","서민아","","9791187150640","어바웃어북","2020-02-07","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5226982%3Ftimestamp%3D20240619133930","https://search.daum.net/search?w=bookpage&bookId=5226982&q=%EB%AF%B8%EC%88%A0%EA%B4%80%EC%97%90+%EA%B0%84+%EB%AC%BC%EB%A6%AC%ED%95%99%EC%9E%90","물리학은 만물의 이치를 탐구하는 학문이다. 구름은 어떻게 생성되는지, 사물의 형태나 색을 어떻게 인지하는지, 소리는 어떻게 전달되는지, 자전하는 지구에서 어떻게 떨어지지 않고 버틸 수 있는지……. 물리학자는 자연과 우주의 본질을 탐구하는 사람들이다. 만물의 본질을 각자의 언어로 궁구(窮究) 한다는 차원에서 과학자의 일과 예술가의 일은 다르지 않다. 이 책은 명화에서 물리학의 핵심 개념과 원리를 찾아 소개한다. 샤갈의 성 슈테판 교회 스테인드글라스에는 퀀텀닷과 나노입자의 과학, 다빈치의 〈모나리자〉에는 ‘꿈의 전자파’라 불리는 테라헤르츠파의 과학, 마그리트의 〈이미지의 배신〉에는 현대물리학의 큰 축인 양자역학, 몬드리안의 〈빨강, 파랑, 노랑의 구성〉에는 그래핀 같은 낮은 차원의 물질세계를 설명하는 과학이 담겨 있다. 그림에서 찾아낸 물리 법칙은 수식으로 설명하는 것보다 훨씬 쉬울 뿐만 아니라 아름답다. 이 책은 ‘프리즘’처럼 좀처럼 알아채기 힘든 물리학의 아름다움을 보여준다.","https://image.aladin.co.kr/product/22957/37/coversum/k062637495_1.jpg","9791187150640.0","미술관에 간 지식인 시리즈. 물리학은 만물의 이치를 탐구하는 학문이다. 만물의 본질을 각자의 언어로 궁구(窮究) 한다는 차원에서 과학자의 일과 예술가의 일은 다르지 않다.","51002.0","국내도서>과학>기초과학/교양과학"
