"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개"
"위성사진으로 보는 고구려 도성","고구려연구재단 [편]","고구려연구재단","2005","자료실","899144856903980 ","","","","","","","","",""
"설국/센바즈루/금수","가와바타 야스나리 [지음]; 김진욱 [옮김]","한국뉴턴","2001","자료실","8983911662 ","","","","","","","","",""
"미생물도감. 2","정가진 [지음]","서울대학교 미생물연구소","2005","자료실","8995429747 ","","","","","","","","",""
"미생물도감. 1","정가진 [지음]","서울대학교 미생물연구소","2005","자료실","8995429739 ","","","","","","","","",""
"전북대학교 도서관50년사","전북대학교도서관 [편]","전북대학교 중앙도서관","2005","자료실","8991260063 ","","","","","","","","",""
"Women, Fier, and Dangerous Things","George Lakoff","The University of Chicago","1987","자료실","226468038 ","","","","","","","","",""
"After th new Criticism","Frank Lentricchia","The University of Chicago","1980","자료실","226471977 ","","","","","","","","",""
"(중·고등학생)장애이해 교육","우이구...[등저]","국립특수교육원","2004","자료실","8988785630 ","","","","","","","","",""
"Olivr Twist","Charles Dickens","Oxford University","2000","자료실","94230929 ","","","","","","","","",""
"(8개국 언어로 엮은)반만년의 숨결. 3: 전라북도편 Ⅱ","오교성 ; 배점모 ; 장영 [공저]","전라북도외국어자원봉사회","2004","자료실","8979100396 ","","","","","","","","",""
"The Historic Long, Deep Korean Roots In Japan","Chung H. Park","Vantage Press","2004","자료실","533144450 ","","","","","","","","",""
"(대영제국의 정치가)디즈레일리의 생애","앙드레 모루아 [지음] ; 이정림 [옮김]","범우사","1999","자료실","8908032574 ","","","","","","","","",""
"전북의 산 500 : 蘆嶺에 피는 햇살","노승구 [글.사진]","신아","2003","자료실","8971718854 ","","","","","","","","",""
"세계 해저의 생태와 생물. 5: 극피동물문(ECHINODERMATA)","김지현 [글.수중촬영]","국립군산대학교 수산과학연구소","2004","자료실","8995549750 ","","","","","","","","",""
"세계 해저의 생태와 생물. 4: 해조류(ALGAE)/해면동물문(PORIFERA)/연체동물문Ⅱ(MOLUSCA)","김지현 [글.수중촬영]","국립 군산대학교 수산과학연구소","2004","자료실","8995549742 ","","","","","","","","",""
"세계 해저의 생태와 생물. 3: 연체동물문 Ⅰ(MOLLUSCA)","김지현 [글.수중촬영]","국립군산대학교 수산과학연구소","2004","자료실","8995549734 ","","","","","","","","",""
"세계 해저의 생태와 생물. 2: 자포동물문(CNIDARIA)/절지동물문(ARTHROPODA)","김지현 [글.수중촬영]","국립 군산대학교 수산과학연구소","2004","자료실","8995549726 ","","","","","","","","",""
"세계 해저의 생태와 생물. 1: 어류(FISHES)","김지현 [글.수중촬영]","국립군산대학교 수산과학연구소","2004","자료실","8995549718 ","","","","","","","","",""
"土地인물사전","이상진","나남","2002","자료실","8930060277 ","","","","","","","","",""
"全北硏究論著目錄 : 1945-1997","全北大學校全羅文化硏究所 [엮음]","全北大學校全羅文化硏究所","1997","자료실","898590552X","","","","","","","","",""
"지도로 찾아가는 도시의 역사","전주역사박물관 [편]","전주역사박물관","2004","자료실","8971719591 ","","","","","","","","",""
"(시로 읽는 황진이)그 사람 내게로 오네","이생진","우리글","2003","자료실","8989376181 ","","","","","","","","",""
"초망지비.광인일기 외/빙하시대.쇼리킴","강용준/송병수","삼성당","1998","자료실","891400953X","","","","","","","","",""
"내가 훔친 여름.육십년대식 외/잠자는 신화.황진이 외","김승옥/최인호","삼성당","1998","자료실","8914009521 ","","","","","","","","",""
"사무장과 배달원.노새 외/배회","방영웅/신상웅","삼성당","1998","자료실","8914009513 ","","","","","","","","",""
"막차로 온 손님들.폭군/잃은 자와 찾은 자.촉각","홍성원/김용성","삼성당","1998","자료실","8914009505 ","","","","","","","","",""
"들불/오욕의강물.월야 외","유현종/윤정규","삼성당","1998","자료실","8914009491 ","","","","","","","","",""
"일요일의 손님들/한국인","정연희/손장순","삼성당","1998","자료실","8914009483 ","","","","","","","","",""
"사랑과 죽음의 세월/개새끼들.선민의 거리","홍성유/정을병","삼성당","1998","자료실","8914009475 ","","","","","","","","",""
"태풍.웃음소리 외/낙엽.천망 외","최인훈/이병주","삼성당","1998","자료실","8914009467 ","","","","","","","","",""
"허허 선생.옛날 이야기 외/순례자.공장 아사기 외","남정현/박용숙","삼성당","1998","자료실","8914009459 ","","","","","","","","",""
"방앗골 혁명.산장/선혈의 대안.명암 외","오유권/이문희","삼성당","1998","자료실","8914009440 ","","","","","","","","",""
"전야제 외/월레소전","서기원/하근찬","삼성당","1998","자료실","8914009432 ","","","","","","","","",""
"깃발 없는 기수.묵시 외/심천도 외","선우희/이호철","삼성당","1998","자료실","8914009424 ","","","","","","","","",""
"가시내 선생 외/동토.이빨과 발톱 외","추식/박경수","삼성당","1998","자료실","8914009416 ","","","","","","","","",""
"유리의 덫/파시","강신재/박경리","삼성당","1998","자료실","8914009408 ","","","","","","","","",""
"자유인/5분간 외 / 밤에 핀 해바라기","김성한/이범선","삼성당","1998","자료실","8914009394 ","","","","","","","","",""
"강 건너 정인들/끊어진 다리","유주현/정한숙","삼성당","1998","자료실","8914009386 ","","","","","","","","",""
"원색의 계절/역사는 흐른다 외","손소희/한무숙","삼성당","1998","자료실","8914009378 ","","","","","","","","",""
"제2의 청춘 ; 제3인간형 외","안수길","삼성당","2001","자료실","8914009351 ","","","","","","","","",""
"Warszawskie getto, 1943-1988 : W 45 rocznice powstania","WYDAWNICTWO","WYDAWNICTWO","1988","자료실","8322324650 ","","","","","","","","",""
"(한국의 발견)강원도","뿌리깊은나무 [편]","뿌리깊은나무","1992","자료실","8974650010 ","","","","","","","","",""
"Facing : Korea","Yellow Sea","Yellow Sea","2003","자료실","8995365439 ","","","","","","","","",""
"(사진으로 보는) 남북 관계 55년사","[북한문제연구소 편]","북한문제연구소","2001","자료실","8978710077 ","","","","","","","","",""
"대구218","대구지하철 참사 희생자 대책위원회","마실가","2004","자료실","8995322624 ","","","","","","","","",""
"승정원일기. 138: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772882 ","","","","","","","","",""
"승정원일기. 137: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772874 ","","","","","","","","",""
"승정원일기. 136: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772866 ","","","","","","","","",""
"승정원일기. 135: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772858 ","","","","","","","","",""
"승정원일기. 134: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","897977284X","","","","","","","","",""
