자료명,저자,출판사,출판년도,소장처
(중학생이 보는)동백꽃 ,김유정[지음]; 성낙수 외[역음],신원문화사,2001,자료실
마지막수업,"도데, 알퐁스",신원문화사,2001,자료실
(중학생이 보는)아Q정전,노신,신원문화사,2001,자료실
(중학생이보는)독일인의사랑,막스 뮐러[저],신원문화사,2001,자료실
날개,이상,신원문화사,2001,자료실
로빈슨 크루소,"디포, 다니엘",신원문화사,2001,자료실
중학생이 보는 아버지와 아들,투르게네프 [지음],신원문화사,2003,자료실
벙어리 삼룡이,나도향,신원문화사,2001,자료실
중학생이 보는 그리스 로마 신화,"불핀치, 토마스",신원문화사,2001,자료실
(중학생이 보는)B사감과 러브레터,현진건 지음,신원문화사,2001,자료실
(중학생이 보는)하늘과 별과 바람과 시,윤동주 지음,신원문화사,2001,자료실
감자, 김동인 지음,신원문화사,6000,자료실
(중학생이 보는)메밀꽃 필 무렵,이효석 [지음]; 성낙수 외[엮음],신원문화사,2001,자료실
(중학생이 보는) 마지막 잎새,오 헨리 지음;조신권 옮김,신원문화사,2004,자료실
(중학생이 보는) 로미오와 줄리엣,셰익스피어,신원문화사,2001,자료실
(중학생이 보는) 무정,이광수 지음;성낙수,신원문화사,2004,자료실
(중학생이 보는) 젊은 베르테르의 슬픔,괴테 지음;권응호 옮김,신원문화사,2004,자료실
(중학생이 보는) 어린왕자,앙투안 드 생텍쥐페리 지음;안응렬 옮김,신원문화사,2004,자료실
(20세기)중국 조선족문학사료전집. 23: 김용식 문학편,김용식 지음;김정옥 편,중국조선민족문화예술출판사,2002,자료실
(20세기)중국 조선족문학사료전집. 20: 김학철 문학편 중,김학철 지음;박시형 펴냄,중국조선민족문화예술출판사,2002,자료실
(20세기)중국 조선족문학사료전집. 19: 김학철 문학편 상,김학철 지음;박시형 펴냄,숨,2002,자료실
(20세기)중국 조선족문학사료전집. 1,심연수 지음;이상규 펴냄,중국조선민족문화예술출판사,2002,자료실
(20세기)중국 조선족문학사료전집. 3,김창걸 지음;권철 김정옥 편,중국조선민족문화예술출판사,2002,자료실
(20세기)중국 조선족문학사료전집. 2,리욱 지음;이상규 펴냄,중국조선민족문화예술출판사,2002,자료실
(20세기)중국 조선족문학사료전집. 6,최삼용 역;이상규 펴냄,중국조선민족문화예술출판사,2002,자료실
(20세기)중국 조선족문학사료선집. 4,"심여추,심극주 지음;이상규 펴냄",중국조선민족문화예술출판사,2002,자료실
(20세기)중국 조선족역사자료집,"심여추,심극주 지음;이상규 펴냄",중국조선민족문화예술출판사,2002,자료실
(2005 세계서예전북비엔날레)문자르 위한 축제,세계서예전북비엔날레조직협의회 [편],세계서예전북비엔날레조직협의회,2005,자료실
2005 세계서예전북BIENNALE,세계서예전북비엔날레조직협의회 [편],세계서예전북비엔날레조직협의회,2005,자료실
2005 세계서예전북비엔날레,세계서예전북비엔날레조직협의회 [편],세계서예전북비엔날레조직협의회,2005,자료실
종교의 기원,지그문트 프로이트 지음; 이윤기 옮김,열린책들,2004,자료실
문명 속의 불만,지그문트 프로이트 지음;김석희 옮김,열린책들,2004(c2003,자료실
국악기의 문양과 장식,국립국악원 지음,국립국악원,2006,자료실
전주역사박물관 소장유물목록,전주역사박물관 [편],전주역사박물관,2005,자료실
생명의신비 호르몬,"데무라, 히로시 [저]",종문화사,2004,자료실
식민지하 근대가족의 형성과 젠더,김혜경 지음,창비,2006,자료실
마왕과 황금별,미셸 투르니에 지음;이원복 옮김,종문화사,2004,자료실
동방박사와 헤로데 대왕,미셸 뚜르니에 지음;이원복 옮김,종문화사,2002,자료실
샘솟는 분수,마틴 발저 ;구승모,종문화사,2001,자료실
헤세의 이야기꾼,헤르만 헤세 지음;피종호 옮김,종문화사,2002,자료실
니벨룽의 대서사시,,종문화사,2003,자료실
유년시절의 정체성,마틴 발저 지음;권선형 옮김,종문화사,2001,자료실
어머니와 아들,마리안네 프레드릭쏜 지음;공경희 옮김,종문화사,2001,자료실
불멸의 지사 심여추 평전,류연산 저,중국조선민족문화예술,2002,자료실
